userid,track,artist,genre,city,time,day
FFB692EC,Kamigata To Boots,The Mass Missile,rock,Shelbyville,20:28:33,Wednesday
20EC38,Funiculì funiculà,Mario Lanza,pop,Shelbyville,20:58:07,Wednesday
A3DD03C9,Dragons in the Sunset,Fire + Ice,folk,Shelbyville,08:37:09,Monday
842029A1,Chains,Obladaet,rusrap,Shelbyville,13:09:41,Friday
E772D5C0,Pessimist,unknown,dance,Shelbyville,21:20:49,Wednesday
94EB25C2,Make Love Whenever You Can,Arabesque,pop,Shelbyville,13:22:08,Wednesday
81D05C7D,SLAVES OF FEAR,HEALTH,alternative,Shelbyville,20:54:48,Monday
39DE290E,Hallo Hallo,Die Klima Hawaiians,folk,Shelbyville,14:36:47,Monday
58AE138A,Pat-a-Cake,Mother Goose Club,children,Shelbyville,20:04:56,Monday
B8E29C9C,The Drunken Scotsman,Ménage à Moi,folk,Shelbyville,20:20:49,Wednesday
8BA8855,A Universal Weakness,Lowercase Noises,postrock,Shelbyville,21:17:25,Wednesday
A4504035,Cradle in Bethlehem,Nat King Cole,jazz,Shelbyville,09:23:01,Wednesday
982219FD,We Not Speak Americano,Genio Band,pop,Shelbyville,20:03:03,Monday
5661F63E,"Purcell: Dido and Aeneas / Act 3 - ""See the flags"" - Destruction's our delight - The Wit- ches' Dance",Teresa Shaw,classical,Shelbyville,08:33:58,Wednesday
EBA5A8B2,Päivän Nousu Nostajani,Värttinä,world,Shelbyville,08:00:31,Friday
F6A44469,Veritas Universalis,Devathorn,metal,Shelbyville,20:19:42,Friday
84AFC19A,Carry On,Young Rising Sons,alternative,Shelbyville,20:24:51,Monday
14FBD1E5,Solteras,Beauty Brain,dance,Shelbyville,20:33:11,Friday
2CF53316,Chicago New York,The Aislers Set,alternative,Shelbyville,20:29:00,Wednesday
77979A66,Sci-Fi,unknown,rusrap,Shelbyville,08:45:43,Monday
9202C4F4,Good Morning Sunshine,Brick,rnb,Shelbyville,21:54:19,Monday
