genre,springfield_monday,shelbyville_monday,springfield_friday,shelbyville_friday
alternative,164.0,58.0,163.0,63.0
classical,157.0,40.0,163.0,60.0
dance,549.0,182.0,495.0,210.0
electronic,480.0,147.0,482.0,216.0
folk,97.0,,,
hiphop,286.0,80.0,273.0,97.0
jazz,100.0,44.0,111.0,61.0
metal,120.0,27.0,88.0,39.0
pop,781.0,218.0,713.0,256.0
rap,,32.0,,36.0
rnb,,27.0,90.0,
rock,474.0,162.0,517.0,216.0
ruspop,186.0,64.0,170.0,47.0
rusrap,175.0,55.0,142.0,59.0
soundtrack,95.0,31.0,105.0,40.0
unknown,161.0,,110.0,47.0
world,181.0,36.0,208.0,54.0
